## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/Users/azadehnikouee/Desktop/GATK_germline_variant_calling/aligned_read/insert_size_histogram.pdf INPUT=/Users/azadehnikouee/Desktop/GATK_germline_variant_calling/aligned_read/SRR070802_sorted_dedup_bqsr_reads.bam OUTPUT=/Users/azadehnikouee/Desktop/GATK_germline_variant_calling/aligned_read/insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jun 29 02:05:54 CDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
231	188	52	2	240574504	247.628172	84.388301	27538909	FR	21	41	63	83	105	127	153	189	263	355	581			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	38
3	40
4	33
5	43
6	35
7	39
8	50
9	31
10	29
11	40
12	35
13	49
14	56
15	47
16	59
17	59
18	66
19	555
20	374
21	191
22	144
23	174
24	122
25	113
26	117
27	97
28	120
29	116
30	123
31	107
32	108
33	82
34	117
35	123
36	101
37	116
38	126
39	125
40	116
41	114
42	124
43	147
44	131
45	124
46	116
47	148
48	127
49	118
50	121
51	118
52	161
53	134
54	143
55	147
56	166
57	191
58	191
59	185
60	195
61	185
62	203
63	198
64	207
65	220
66	208
67	194
68	236
69	247
70	200
71	245
72	277
73	272
74	321
75	304
76	323
77	299
78	327
79	376
80	392
81	401
82	435
83	510
84	567
85	572
86	649
87	731
88	845
89	877
90	955
91	1105
92	1167
93	1335
94	1540
95	1701
96	1932
97	2069
98	2372
99	2562
100	3029
101	3257
102	3663
103	4183
104	4543
105	5076
106	5633
107	6372
108	6940
109	7571
110	8437
111	9353
112	10091
113	11220
114	12168
115	13477
116	14647
117	16058
118	17653
119	19171
120	20668
121	22370
122	24311
123	26126
124	28322
125	30334
126	32988
127	35114
128	37229
129	39780
130	42149
131	44769
132	47477
133	50338
134	53501
135	56713
136	59515
137	62455
138	65828
139	69263
140	71717
141	74560
142	78474
143	81250
144	84831
145	87900
146	91028
147	93976
148	97288
149	100213
150	102696
151	105504
152	108801
153	112070
154	114494
155	117139
156	119903
157	122870
158	124443
159	127315
160	129641
161	132072
162	134049
163	136333
164	138358
165	140456
166	141276
167	143726
168	145165
169	146819
170	147972
171	148990
172	149798
173	150737
174	152399
175	153172
176	153753
177	155509
178	156007
179	156173
180	155971
181	157572
182	156937
183	156671
184	156562
185	157957
186	157767
187	157576
188	158634
189	158179
190	158259
191	158185
192	157761
193	156901
194	157179
195	156007
196	156147
197	156554
198	155714
199	155447
200	155838
201	153867
202	154218
203	153198
204	152699
205	152021
206	151712
207	151513
208	150480
209	149697
210	149328
211	148836
212	147843
213	146874
214	146347
215	145404
216	144874
217	144604
218	144017
219	143140
220	143334
221	142141
222	141424
223	140572
224	139708
225	139177
226	138608
227	137878
228	137700
229	136589
230	135402
231	134956
232	134701
233	133906
234	132933
235	132105
236	130540
237	130240
238	129637
239	128284
240	128870
241	128351
242	127257
243	125873
244	125029
245	124055
246	123393
247	123021
248	121418
249	121679
250	121061
251	119936
252	119539
253	118971
254	118508
255	116366
256	116195
257	115001
258	114779
259	112903
260	113316
261	112031
262	112265
263	110800
264	109620
265	109674
266	107961
267	106797
268	106541
269	105976
270	105609
271	103966
272	103307
273	102335
274	102290
275	101017
276	99686
277	99058
278	98266
279	97923
280	96849
281	96061
282	95726
283	94655
284	94328
285	93079
286	91975
287	91461
288	90971
289	89192
290	89746
291	88129
292	87596
293	86691
294	85981
295	85267
296	84180
297	83651
298	81965
299	81432
300	80812
301	80116
302	79543
303	78388
304	77947
305	77204
306	76426
307	75235
308	74485
309	74338
310	72970
311	72595
312	71248
313	71076
314	70382
315	69285
316	69105
317	68486
318	67135
319	66229
320	65715
321	64907
322	64096
323	63031
324	63028
325	62284
326	61730
327	60860
328	60395
329	59128
330	58047
331	57534
332	56992
333	56326
334	56042
335	55313
336	54713
337	53884
338	53428
339	52913
340	52404
